AL, 81, 2006051812, 01, CARQ, -24, 294N,  920W,  50,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 81, 2006051812, 01, CARQ, -18, 286N,  910W,  50,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 81, 2006051812, 01, CARQ, -12, 283N,  905W,  55,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 128,   6, 
AL, 81, 2006051812, 01, CARQ,  -6, 279N,  900W,  60,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 81, 2006051812, 01, CARQ,   0, 275N,  895W,  65,  985, HU,  34, NEQ,  120,  120,  120,  120, 1008,  150,   0,   0,   0,   L,   0,   X, 130,   6,       TEST, D, 
AL, 81, 2006051812, 01, CARQ,   0, 275N,  895W,  65,  985, HU,  50, NEQ,   70,   70,   70,   70, 1008,  150,   0,   0,   0,   L,   0,   X, 130,   6,       TEST, D, 
AL, 81, 2006051812, 01, CARQ,   0, 275N,  895W,  65,  985, HU,  64, NEQ,   30,   30,   30,   30, 1008,  150,   0,   0,   0,   L,   0,   X, 130,   6,       TEST, D, 
AL, 81, 2006051812, 03, A90E,   0, 275N,  895W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 81, 2006051812, 03, A90E,  12, 272N,  879W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 81, 2006051812, 03, A90E,  24, 275N,  837W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 81, 2006051812, 03, A90E,  36, 289N,  790W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 81, 2006051812, 03, A90E,  48, 303N,  743W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 81, 2006051812, 03, A90E,  60, 309N,  703W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 81, 2006051812, 03, A90E,  72, 316N,  662W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
