AL, 86, 2007052918, 01, CARQ, -24, 266N,  872W,  65,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2007052918, 01, CARQ, -18, 269N,  875W,  65,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2007052918, 01, CARQ, -12, 273N,  878W,  65,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 328,   4, 
AL, 86, 2007052918, 01, CARQ,  -6, 276N,  880W,  65,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2007052918, 01, CARQ,   0, 281N,  882W,  65,  985, HU,  34, NEQ,  150,  150,  150,  150,  995,  175,  20,   0,   0,   L,   0,   X, 335,   5,       TEST, D, 
AL, 86, 2007052918, 01, CARQ,   0, 281N,  882W,  65,  985, HU,  50, NEQ,   80,   80,   80,   80,  995,  175,  20,   0,   0,   L,   0,   X, 335,   5,       TEST, D, 
AL, 86, 2007052918, 01, CARQ,   0, 281N,  882W,  65,  985, HU,  64, NEQ,   30,   30,   30,   30,  995,  175,  20,   0,   0,   L,   0,   X, 335,   5,       TEST, D, 
AL, 86, 2007052918, 03, BAMD,  12, 302N,  868W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  24, 323N,  869W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  36, 341N,  872W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  48, 355N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  60, 370N,  867W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  72, 388N,  851W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  84, 409N,  824W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD,  96, 427N,  778W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD, 108, 435N,  708W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMD, 120, 430N,  627W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  12, 297N,  882W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  24, 313N,  888W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  36, 325N,  891W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  48, 332N,  892W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  60, 336N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  72, 346N,  903W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  84, 362N,  894W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2007052918, 03, BAMM,  96, 379N,  870W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
