SH, 11, 2018030218, 03, CTCX, 000, 129S,  544E,  40,  999, XX,  34, NEQ, 0067, 0050, 0078, 0080,    0,    0, 041
SH, 11, 2018030218, 03, CTCX, 006, 135S,  545E,  54,  996, XX,  34, NEQ, 0159, 0144, 0118, 0246,    0,    0, 035
SH, 11, 2018030218, 03, CTCX, 006, 135S,  545E,  54,  996, XX,  50, NEQ, 0086, 0000, 0000, 0000,    0,    0, 035
SH, 11, 2018030218, 03, CTCX, 012, 144S,  536E,  50,  995, XX,  34, NEQ, 0207, 0194, 0212, 0198,    0,    0, 057
SH, 11, 2018030218, 03, CTCX, 012, 144S,  536E,  50,  995, XX,  50, NEQ, 0000, 0059, 0000, 0000,    0,    0, 057
SH, 11, 2018030218, 03, CTCX, 018, 152S,  529E,  49,  991, XX,  34, NEQ, 0210, 0243, 0219, 0246,    0,    0, 090
SH, 11, 2018030218, 03, CTCX, 018, 152S,  529E,  49,  991, XX,  50, NEQ, 0130, 0000, 0000, 0000,    0,    0, 090
SH, 11, 2018030218, 03, CTCX, 024, 161S,  525E,  64,  986, XX,  34, NEQ, 0206, 0176, 0126, 0252,    0,    0, 033
SH, 11, 2018030218, 03, CTCX, 024, 161S,  525E,  64,  986, XX,  50, NEQ, 0000, 0057, 0022, 0000,    0,    0, 033
SH, 11, 2018030218, 03, CTCX, 024, 161S,  525E,  64,  986, XX,  64, NEQ, 0000, 0033, 0000, 0000,    0,    0, 033
SH, 11, 2018030218, 03, CTCX, 030, 168S,  518E,  54,  980, XX,  34, NEQ, 0257, 0197, 0234, 0261,    0,    0, 032
SH, 11, 2018030218, 03, CTCX, 030, 168S,  518E,  54,  980, XX,  50, NEQ, 0047, 0078, 0045, 0000,    0,    0, 032
SH, 11, 2018030218, 03, CTCX, 036, 178S,  512E,  57,  976, XX,  34, NEQ, 0267, 0236, 0217, 0101,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 036, 178S,  512E,  57,  976, XX,  50, NEQ, 0072, 0091, 0047, 0041,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 042, 186S,  510E,  78,  971, XX,  34, NEQ, 0261, 0215, 0227, 0275,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 042, 186S,  510E,  78,  971, XX,  50, NEQ, 0065, 0157, 0060, 0065,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 042, 186S,  510E,  78,  971, XX,  64, NEQ, 0049, 0040, 0000, 0000,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 048, 194S,  508E,  92,  961, XX,  34, NEQ, 0272, 0274, 0218, 0147,    0,    0, 019
SH, 11, 2018030218, 03, CTCX, 048, 194S,  508E,  92,  961, XX,  50, NEQ, 0116, 0097, 0083, 0057,    0,    0, 019
SH, 11, 2018030218, 03, CTCX, 048, 194S,  508E,  92,  961, XX,  64, NEQ, 0050, 0083, 0037, 0032,    0,    0, 019
SH, 11, 2018030218, 03, CTCX, 054, 202S,  510E, 117,  949, XX,  34, NEQ, 0252, 0252, 0237, 0133,    0,    0, 025
SH, 11, 2018030218, 03, CTCX, 054, 202S,  510E, 117,  949, XX,  50, NEQ, 0146, 0184, 0121, 0090,    0,    0, 025
SH, 11, 2018030218, 03, CTCX, 054, 202S,  510E, 117,  949, XX,  64, NEQ, 0068, 0057, 0033, 0050,    0,    0, 025
SH, 11, 2018030218, 03, CTCX, 060, 211S,  512E, 114,  944, XX,  34, NEQ, 0287, 0256, 0253, 0151,    0,    0, 022
SH, 11, 2018030218, 03, CTCX, 060, 211S,  512E, 114,  944, XX,  50, NEQ, 0124, 0198, 0125, 0099,    0,    0, 022
SH, 11, 2018030218, 03, CTCX, 060, 211S,  512E, 114,  944, XX,  64, NEQ, 0065, 0065, 0063, 0055,    0,    0, 022
SH, 11, 2018030218, 03, CTCX, 066, 222S,  517E, 120,  935, XX,  34, NEQ, 0294, 0298, 0229, 0164,    0,    0, 027
SH, 11, 2018030218, 03, CTCX, 066, 222S,  517E, 120,  935, XX,  50, NEQ, 0129, 0156, 0115, 0093,    0,    0, 027
SH, 11, 2018030218, 03, CTCX, 066, 222S,  517E, 120,  935, XX,  64, NEQ, 0067, 0070, 0066, 0061,    0,    0, 027
SH, 11, 2018030218, 03, CTCX, 072, 232S,  524E, 118,  936, XX,  34, NEQ, 0269, 0306, 0240, 0190,    0,    0, 029
SH, 11, 2018030218, 03, CTCX, 072, 232S,  524E, 118,  936, XX,  50, NEQ, 0165, 0210, 0132, 0111,    0,    0, 029
SH, 11, 2018030218, 03, CTCX, 072, 232S,  524E, 118,  936, XX,  64, NEQ, 0071, 0116, 0111, 0082,    0,    0, 029
SH, 11, 2018030218, 03, CTCX, 078, 242S,  530E, 117,  936, XX,  34, NEQ, 0291, 0295, 0247, 0174,    0,    0, 027
SH, 11, 2018030218, 03, CTCX, 078, 242S,  530E, 117,  936, XX,  50, NEQ, 0224, 0213, 0145, 0096,    0,    0, 027
SH, 11, 2018030218, 03, CTCX, 078, 242S,  530E, 117,  936, XX,  64, NEQ, 0066, 0091, 0092, 0075,    0,    0, 027
SH, 11, 2018030218, 03, CTCX, 084, 252S,  538E, 106,  942, XX,  34, NEQ, 0312, 0305, 0220, 0198,    0,    0, 028
SH, 11, 2018030218, 03, CTCX, 084, 252S,  538E, 106,  942, XX,  50, NEQ, 0182, 0164, 0142, 0097,    0,    0, 028
SH, 11, 2018030218, 03, CTCX, 084, 252S,  538E, 106,  942, XX,  64, NEQ, 0076, 0073, 0071, 0068,    0,    0, 028
SH, 11, 2018030218, 03, CTCX, 090, 264S,  548E,  92,  946, XX,  34, NEQ, 0302, 0327, 0220, 0220,    0,    0, 025
SH, 11, 2018030218, 03, CTCX, 090, 264S,  548E,  92,  946, XX,  50, NEQ, 0162, 0158, 0123, 0099,    0,    0, 025
SH, 11, 2018030218, 03, CTCX, 090, 264S,  548E,  92,  946, XX,  64, NEQ, 0071, 0067, 0079, 0072,    0,    0, 025
SH, 11, 2018030218, 03, CTCX, 096, 275S,  559E,  87,  951, XX,  34, NEQ, 0306, 0318, 0240, 0240,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 096, 275S,  559E,  87,  951, XX,  50, NEQ, 0200, 0157, 0126, 0122,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 096, 275S,  559E,  87,  951, XX,  64, NEQ, 0073, 0068, 0061, 0061,    0,    0, 026
SH, 11, 2018030218, 03, CTCX, 102, 288S,  570E,  66,  955, XX,  34, NEQ, 0323, 0316, 0255, 0238,    0,    0, 048
SH, 11, 2018030218, 03, CTCX, 102, 288S,  570E,  66,  955, XX,  50, NEQ, 0208, 0204, 0146, 0111,    0,    0, 048
SH, 11, 2018030218, 03, CTCX, 102, 288S,  570E,  66,  955, XX,  64, NEQ, 0074, 0059, 0000, 0000,    0,    0, 048
SH, 11, 2018030218, 03, CTCX, 108, 302S,  579E,  63,  958, XX,  34, NEQ, 0305, 0330, 0245, 0252,    0,    0, 053
SH, 11, 2018030218, 03, CTCX, 108, 302S,  579E,  63,  958, XX,  50, NEQ, 0205, 0207, 0139, 0112,    0,    0, 053
SH, 11, 2018030218, 03, CTCX, 114, 316S,  589E,  62,  955, XX,  34, NEQ, 0283, 0325, 0231, 0263,    0,    0, 087
SH, 11, 2018030218, 03, CTCX, 114, 316S,  589E,  62,  955, XX,  50, NEQ, 0237, 0195, 0173, 0132,    0,    0, 087
SH, 11, 2018030218, 03, CTCX, 120, 329S,  600E,  63,  955, XX,  34, NEQ, 0304, 0320, 0235, 0256,    0,    0, 088
SH, 11, 2018030218, 03, CTCX, 120, 329S,  600E,  63,  955, XX,  50, NEQ, 0203, 0199, 0188, 0140,    0,    0, 088
SH, 11, 2018030218, 03, CTCX, 126, 342S,  609E,  55,  954, XX,  34, NEQ, 0340, 0320, 0256, 0272,    0,    0, 105
SH, 11, 2018030218, 03, CTCX, 126, 342S,  609E,  55,  954, XX,  50, NEQ, 0166, 0225, 0158, 0144,    0,    0, 105
SH, 11, 2018030218, 03, HWRF, 000, 128S,  545E,  36,  996, XX,  34, NEQ, 0036, 0036, 0000, 0000, 1004,   88,  26,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,   -9999,   -9999,   -9999, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 001, 129S,  544E,  41,  998, XX,  34, NEQ, 0069, 0050, 0000, 0139,  -99,  -99,  42,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,       7,     618,    -307, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 002, 131S,  543E,  50,  997, XX,  34, NEQ, 0073, 0162, 0000, 0176,  -99,  -99,  24,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -64,     767,    -293, Y, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 003, 132S,  542E,  48,  993, XX,  34, NEQ, 0086, 0059, 0039, 0190,  -99,  -99,  20,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -8,    1057,     -39, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 004, 133S,  541E,  47,  989, XX,  34, NEQ, 0101, 0162, 0036, 0193, 1001,   41,  55,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      16,    1347,      99, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 005, 133S,  540E,  57,  989, XX,  34, NEQ, 0145, 0125, 0059, 0183,  -99,  -99,  41,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      49,    1208,    -304, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 005, 133S,  540E,  57,  989, XX,  50, NEQ, 0044, 0042, 0000, 0000,  -99,  -99,  41,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      49,    1208,    -304, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 006, 135S,  539E,  51,  989, XX,  34, NEQ, 0134, 0186, 0052, 0184, 1001,   61,  37,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -30,    1267,    -137, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 006, 135S,  539E,  51,  989, XX,  50, NEQ, 0038, 0000, 0000, 0000, 1001,   61,  37,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -30,    1267,    -137, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 007, 137S,  538E,  55,  987, XX,  34, NEQ, 0144, 0166, 0048, 0190,  -99,  -99,  41,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -30,    1118,     202, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 007, 137S,  538E,  55,  987, XX,  50, NEQ, 0054, 0022, 0000, 0000,  -99,  -99,  41,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -30,    1118,     202, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 008, 138S,  536E,  52,  987, XX,  34, NEQ, 0153, 0163, 0036, 0200,  -99,  -99,  44,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -8,    1184,    -160, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 008, 138S,  536E,  52,  987, XX,  50, NEQ, 0046, 0046, 0000, 0000,  -99,  -99,  44,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -8,    1184,    -160, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 009, 139S,  535E,  50,  987, XX,  34, NEQ, 0162, 0156, 0058, 0198, 1003,  101,  94,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,       6,    1261,     -53, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 012, 140S,  534E,  50,  988, XX,  34, NEQ, 0181, 0179, 0095, 0167,  -99,  -99, 129,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      13,    1269,      11, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 012, 140S,  534E,  50,  988, XX,  50, NEQ, 0000, 0000, 0000, 0131,  -99,  -99, 129,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      13,    1269,      11, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 015, 145S,  532E,  57,  984, XX,  34, NEQ, 0147, 0148, 0081, 0167, 1000,   64,  34,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      25,    1269,     304, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 015, 145S,  532E,  57,  984, XX,  50, NEQ, 0119, 0053, 0000, 0000, 1000,   64,  34,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      25,    1269,     304, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 018, 150S,  528E,  54,  982, XX,  34, NEQ, 0167, 0162, 0088, 0158,  -99,  -99,  29,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      21,    1124,     225, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 018, 150S,  528E,  54,  982, XX,  50, NEQ, 0087, 0035, 0022, 0000,  -99,  -99,  29,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      21,    1124,     225, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 021, 152S,  527E,  64,  977, XX,  34, NEQ, 0216, 0178, 0117, 0153, 1001,  114,  38,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      18,    1338,     446, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 021, 152S,  527E,  64,  977, XX,  50, NEQ, 0067, 0055, 0000, 0047, 1001,  114,  38,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      18,    1338,     446, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 021, 152S,  527E,  64,  977, XX,  64, NEQ, 0000, 0039, 0000, 0000, 1001,  114,  38,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      18,    1338,     446, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 024, 156S,  524E,  62,  974, XX,  34, NEQ, 0150, 0203, 0123, 0123, 1002,   97,  39,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -13,    1676,     397, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 024, 156S,  524E,  62,  974, XX,  50, NEQ, 0063, 0061, 0043, 0037, 1002,   97,  39,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -13,    1676,     397, N, 10, DT, -999
SH, 11, 2018030218, 03, HWRF, 027, 160S,  522E,  69,  971, XX,  34, NEQ, 0149, 0209, 0137, 0142, 1003,  118,  21,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -3,    1178,     777, Y, 10, DT, -999
