SH, 14, 2019020918, 01, CARQ,   0, 209S, 1749W,  35,  996, XX,  34, NEQ,  150,  125,   45,  130, 1002,  170,  35,   0,   0,   P,   0,   X, 155,  16,       NEIL, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH142019, JTWC, NCEP_TCVITALS, 
SH, 14, 2019020918, 01, CARQ,   0, 209S, 1749W,  35,  996, XX,  50, NEQ,    0,    0,    0,    0, 1002,  170,  35,   0,   0,   P,   0,   X, 155,  16,       NEIL, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH142019, JTWC, NCEP_TCVITALS, 
SH, 14, 2019020918, 01, CARQ,   0, 209S, 1749W,  35,  996, XX,  64, NEQ,    0,    0,    0,    0, 1002,  170,  35,   0,   0,   P,   0,   X, 155,  16,       NEIL, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH142019, JTWC, NCEP_TCVITALS, 
SH, 14, 2019020918, 03, AC00, 000, 210S, 1748W,  38,  995, XX,  34, NEQ, 0158, 0000, 0000, 0000
SH, 14, 2019020918, 03, AC00, 006, 226S, 1741W,  36,  996, XX,  34, NEQ, 0147, 0000, 0000, 0000
SH, 14, 2019020918, 03, AC00, 012, 245S, 1732W,  36,  995, XX,  34, NEQ, 0150, 0000, 0000, 0000
SH, 14, 2019020918, 03, AC00, 018, 266S, 1724W,  39,  996, XX,  34, NEQ, 0164, 0000, 0000, 0000
SH, 14, 2019020918, 03, AC00, 024, 288S, 1711W,  37,  995, XX,  34, NEQ, 0162, 0000, 0000, 0000
SH, 14, 2019020918, 03, AC00, 030, 309S, 1696W,  39,  996, XX,  34, NEQ, 0137, 0475, 0000, 0000
SH, 14, 2019020918, 03, AC00, 036, 330S, 1680W,  43,  995, XX,  34, NEQ, 0204, 0369, 0000, 0000
SH, 14, 2019020918, 03, AC00, 042, 353S, 1671W,  45,  995, XX,  34, NEQ, 0218, 0285, 0000, 0000
SH, 14, 2019020918, 03, AC00, 048, 377S, 1660W,  46,  996, XX,  34, NEQ, 0210, 0174, 0148, 0000
SH, 14, 2019020918, 03, AC00, 054, 395S, 1649W,  45,  997, XX,  34, NEQ, 0212, 0181, 0070, 0000
SH, 14, 2019020918, 03, AC00, 060, 411S, 1643W,  45,  997, XX,  34, NEQ, 0199, 0196, 0070, 0000
SH, 14, 2019020918, 03, AC00, 066, 422S, 1648W,  43,  997, XX,  34, NEQ, 0131, 0195, 0107, 0000
SH, 14, 2019020918, 03, AC00, 072, 432S, 1658W,  42,  998, XX,  34, NEQ, 0000, 0194, 0141, 0000
SH, 14, 2019020918, 03, AC00, 078, 439S, 1674W,  37, 1000, XX,  34, NEQ, 0000, 0193, 0128, 0000
SH, 14, 2019020918, 03, AC00, 084, 445S, 1687W,  34, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
