AL, 86, 2009051218, 01, CARQ, -24, 249N,  826W,  85,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2009051218, 01, CARQ, -18, 246N,  833W,  90,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2009051218, 01, CARQ, -12, 244N,  840W,  95,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 261,   6, 
AL, 86, 2009051218, 01, CARQ,  -6, 244N,  847W, 100,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2009051218, 01, CARQ,   0, 245N,  853W, 100,  948, HU,  34, NEQ,  140,   90,   90,  130, 1008,  150,   0,   0,   0,   L,   0,   X, 265,   6,       TEST, D, 
AL, 86, 2009051218, 01, CARQ,   0, 245N,  853W, 100,  948, HU,  50, NEQ,   70,   70,   60,   70, 1008,  150,   0,   0,   0,   L,   0,   X, 265,   6,       TEST, D, 
AL, 86, 2009051218, 01, CARQ,   0, 245N,  853W, 100,  948, HU,  64, NEQ,   45,   35,   35,   35, 1008,  150,   0,   0,   0,   L,   0,   X, 265,   6,       TEST, D, 
AL, 86, 2009051218, 03, CLIP,  12, 245N,  865W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLIP,  24, 248N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLIP,  36, 251N,  885W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLIP,  48, 256N,  891W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLIP,  72, 269N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  12, 247N,  867W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  24, 251N,  880W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  36, 260N,  893W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  48, 269N,  902W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  60, 278N,  909W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  72, 289N,  915W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  84, 305N,  917W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5,  96, 319N,  917W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5, 108, 331N,  913W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, CLP5, 120, 347N,  906W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, DRCL,   0, 245N,  853W, 100,    0, HU,  34, NEQ,  140,   90,   90,  130, 
AL, 86, 2009051218, 03, DRCL,   0, 245N,  853W, 100,    0, HU,  50, NEQ,   70,   70,   60,   70, 
AL, 86, 2009051218, 03, DRCL,   0, 245N,  853W, 100,    0, HU,  64, NEQ,   45,   35,   35,   35, 
AL, 86, 2009051218, 03, DRCL,  12, 250N,  868W, 105,    0, HU,  34, NEQ,  147,  106,  103,  136, 
AL, 86, 2009051218, 03, DRCL,  12, 250N,  868W, 105,    0, HU,  50, NEQ,   77,   75,   67,   76, 
AL, 86, 2009051218, 03, DRCL,  12, 250N,  868W, 105,    0, HU,  64, NEQ,   48,   40,   39,   41, 
AL, 86, 2009051218, 03, DRCL,  24, 258N,  880W, 115,    0, HU,  34, NEQ,  155,  122,  113,  140, 
AL, 86, 2009051218, 03, DRCL,  24, 258N,  880W, 115,    0, HU,  50, NEQ,   85,   81,   73,   81, 
AL, 86, 2009051218, 03, DRCL,  24, 258N,  880W, 115,    0, HU,  64, NEQ,   54,   48,   46,   47, 
AL, 86, 2009051218, 03, DRCL,  36, 271N,  893W, 115,    0, HU,  34, NEQ,  164,  135,  118,  139, 
